ranking,symbol,name,market_cap,volume_24h,volume_7d,volume_30d,price,launch_date,exchanges,min_market_cap,min_volume,volume_period,status
92,S,Sonic,972486188.0,103648401.0,0.0,0.0,0.301768,,"binance,mexc,gate",100000000.0,10000000.0,24h,active
93,WBTC,Arbitrum Bridged WBTC (Arbitrum One),964649373.0,145223034.0,0.0,0.0,117621.0,,"binance,mexc,gate",100000000.0,10000000.0,24h,active
94,RAY,Raydium,961151725.0,96102970.0,0.0,0.0,3.59,,"binance,mexc,gate",100000000.0,10000000.0,24h,active
95,PAXG,PAX Gold,946575400.0,25451888.0,0.0,0.0,3331.15,,"binance,mexc,gate",100000000.0,10000000.0,24h,active
96,CAKE,PancakeSwap,935728724.0,54955570.0,0.0,0.0,2.71,,"binance,mexc,gate",100000000.0,10000000.0,24h,active
97,FARTCOIN,Fartcoin,931488131.0,156903494.0,0.0,0.0,0.930956,,"mexc,gate",100000000.0,10000000.0,24h,active
98,CFX,Conflux,911453059.0,42374662.0,0.0,0.0,0.177643,,"binance,mexc,gate",100000000.0,10000000.0,24h,active
99,PENDLE,Pendle,902921955.0,75173320.0,0.0,0.0,5.4,,"binance,mexc,gate",100000000.0,10000000.0,24h,active
100,KAIA,Kaia,896757748.0,10296227.0,0.0,0.0,0.153501,,"binance,mexc,gate",100000000.0,10000000.0,24h,active
101,XTZ,Tezos,889841223.0,42384452.0,0.0,0.0,0.843514,,"binance,mexc,gate",100000000.0,10000000.0,24h,active
102,WIF,dogwifhat,877764254.0,1417794582.0,0.0,0.0,0.878709,,"binance,mexc,gate",100000000.0,10000000.0,24h,active
103,MSOL,Marinade Staked SOL,872593639.0,5791355.0,0.0,0.0,246.49,,"mexc,gate",100000000.0,10000000.0,24h,active
104,ENS,Ethereum Name Service,867256916.0,73394176.0,0.0,0.0,26.16,,"binance,mexc,gate",100000000.0,10000000.0,24h,active
105,THETA,Theta Network,850255880.0,24359683.0,0.0,0.0,0.850692,,"binance,mexc,gate",100000000.0,10000000.0,24h,active
106,IOTA,IOTA,820556558.0,18055387.0,0.0,0.0,0.207276,,"binance,mexc,gate",100000000.0,10000000.0,24h,active
107,A,Vaulta,808505360.0,30843345.0,0.0,0.0,0.510099,,"binance,mexc,gate",100000000.0,10000000.0,24h,active
108,JASMY,JasmyCoin,793065423.0,24173273.0,0.0,0.0,0.0163651,,"binance,mexc,gate",100000000.0,10000000.0,24h,active
109,GALA,GALA,787191384.0,101678417.0,0.0,0.0,0.0172565,,"binance,mexc,gate",100000000.0,10000000.0,24h,active
110,VIRTUAL,Virtuals Protocol,778903591.0,74645668.0,0.0,0.0,1.19,,"binance,mexc,gate",100000000.0,10000000.0,24h,active
111,SAND,The Sandbox,725181080.0,55582463.0,0.0,0.0,0.296579,,"binance,mexc,gate",100000000.0,10000000.0,24h,active
112,CMETH,Mantle Restaked ETH,715485596.0,8777641.0,0.0,0.0,4725.42,,"mexc,gate",100000000.0,10000000.0,24h,active
113,PYTH,Pyth Network,709592038.0,23625584.0,0.0,0.0,0.123364,,"binance,mexc,gate",100000000.0,10000000.0,24h,active
114,M,MemeCore,689121131.0,8965910.0,0.0,0.0,0.413021,,"mexc,gate",100000000.0,10000000.0,24h,active
115,TBTC,tBTC,688985858.0,6985755.0,0.0,0.0,117477.0,,"mexc,gate",100000000.0,10000000.0,24h,active
116,BTT,BitTorrent,668225757.0,19649199.0,0.0,0.0,6.77749e-07,,"binance,mexc,gate",100000000.0,10000000.0,24h,active
117,RLUSD,Ripple USD,666661635.0,136762484.0,0.0,0.0,0.999884,,"mexc,gate",100000000.0,10000000.0,24h,active
118,MORPHO,Morpho,647957689.0,14661385.0,0.0,0.0,1.98,,"mexc,gate",100000000.0,10000000.0,24h,active
119,JTO,Jito,645782131.0,19011608.0,0.0,0.0,1.76,,"binance,mexc,gate",100000000.0,10000000.0,24h,active
120,CBETH,Coinbase Wrapped Staked ETH,634705113.0,11597296.0,0.0,0.0,4842.41,,"mexc,gate",100000000.0,10000000.0,24h,active
121,FLOW,Flow,633211426.0,17641324.0,0.0,0.0,0.395279,,"binance,mexc,gate",100000000.0,10000000.0,24h,active
122,AB,AB,628299287.0,31326110.0,0.0,0.0,0.00863447,,"mexc,gate",100000000.0,10000000.0,24h,active
123,WAL,Walrus,611423514.0,19766537.0,0.0,0.0,0.432483,,"mexc,gate",100000000.0,10000000.0,24h,active
124,ZEC,Zcash,594200776.0,58848211.0,0.0,0.0,36.65,,"binance,mexc,gate",100000000.0,10000000.0,24h,active
125,DOGE,Binance-Peg Dogecoin,585961341.0,6430169.0,0.0,0.0,0.228902,,"binance,mexc,gate",100000000.0,10000000.0,24h,active
126,USD0,Usual USD,573873005.0,3839332.0,0.0,0.0,0.999087,,"mexc,gate",100000000.0,10000000.0,24h,active
127,BTC.B,Avalanche Bridged BTC (Avalanche),573548151.0,71814818.0,0.0,0.0,117674.0,,"mexc,gate",100000000.0,10000000.0,24h,active
128,MANA,Decentraland,568825093.0,37178814.0,0.0,0.0,0.296438,,"binance,mexc,gate",100000000.0,10000000.0,24h,active
129,KTA,Keeta,555742936.0,11054967.0,0.0,0.0,1.36,,"mexc,gate",100000000.0,10000000.0,24h,active
130,BSV,Bitcoin SV,552406938.0,15230058.0,0.0,0.0,27.76,,"mexc,gate",100000000.0,10000000.0,24h,active
131,RSR,Reserve Rights,543338587.0,23066005.0,0.0,0.0,0.00918089,,"binance,mexc,gate",100000000.0,10000000.0,24h,active
132,BRETT,Brett,541985043.0,27101210.0,0.0,0.0,0.054699,,"mexc,gate",100000000.0,10000000.0,24h,active
133,STRK,Starknet,532095006.0,32447499.0,0.0,0.0,0.138716,,"binance,mexc,gate",100000000.0,10000000.0,24h,active
134,B,BUILDon,518228554.0,19318239.0,0.0,0.0,0.518318,,"mexc,gate",100000000.0,10000000.0,24h,active
135,DYDX,dYdX,514120207.0,7406853.0,0.0,0.0,0.664599,,"binance,mexc,gate",100000000.0,10000000.0,24h,active
136,FRXETH,Frax Ether,506324089.0,12224936.0,0.0,0.0,4384.31,,"mexc,gate",100000000.0,10000000.0,24h,active
137,APE,ApeCoin,496405483.0,30736910.0,0.0,0.0,0.62088,,"binance,mexc,gate",100000000.0,10000000.0,24h,active
138,CORE,Core,494818963.0,8570588.0,0.0,0.0,0.490771,,"mexc,gate",100000000.0,10000000.0,24h,active
139,HNT,Helium,490468992.0,7567720.0,0.0,0.0,2.63,,"binance,mexc,gate",100000000.0,10000000.0,24h,active
140,ETHFI,Ether.fi,486058635.0,63186162.0,0.0,0.0,1.15,,"binance,mexc,gate",100000000.0,10000000.0,24h,active
141,SYRUP,Maple Finance,484575755.0,23551406.0,0.0,0.0,0.433305,,"binance,mexc,gate",100000000.0,10000000.0,24h,active
142,RUNE,THORChain,479856537.0,75672080.0,0.0,0.0,1.37,,"binance,mexc,gate",100000000.0,10000000.0,24h,active
143,AR,Arweave,478678359.0,32677809.0,0.0,0.0,7.31,,"binance,mexc,gate",100000000.0,10000000.0,24h,active
144,AIOZ,AIOZ Network,469137871.0,11926435.0,0.0,0.0,0.395439,,"mexc,gate",100000000.0,10000000.0,24h,active
145,NFT,APENFT,463437020.0,13402790.0,0.0,0.0,4.68083e-07,,"mexc,gate",100000000.0,10000000.0,24h,active
146,MOG,Mog Coin,458103133.0,12451718.0,0.0,0.0,1.17e-06,,"mexc,gate",100000000.0,10000000.0,24h,active
147,ZK,ZKsync,457804710.0,23408515.0,0.0,0.0,0.063305,,"binance,mexc,gate",100000000.0,10000000.0,24h,active
148,SUN,Sun Token,452003654.0,13969960.0,0.0,0.0,0.02359824,,"binance,mexc,gate",100000000.0,10000000.0,24h,active
149,COMP,Compound,448687272.0,58897016.0,0.0,0.0,47.76,,"binance,mexc,gate",100000000.0,10000000.0,24h,active
150,NEO,NEO,446703239.0,18413787.0,0.0,0.0,6.33,,"binance,mexc,gate",100000000.0,10000000.0,24h,active
151,XCN,Onyxcoin,440258149.0,16926295.0,0.0,0.0,0.01273955,,"mexc,gate",100000000.0,10000000.0,24h,active
152,SUPER,SuperVerse,439666862.0,13869433.0,0.0,0.0,0.709886,,"binance,mexc,gate",100000000.0,10000000.0,24h,active
153,EGLD,MultiversX,434877890.0,15557859.0,0.0,0.0,15.24,,"binance,mexc,gate",100000000.0,10000000.0,24h,active
154,EIGEN,EigenCloud (prev. EigenLayer),434568067.0,53657923.0,0.0,0.0,1.35,,"binance,mexc,gate",100000000.0,10000000.0,24h,active
155,DEEP,DeepBook,424315634.0,23358287.0,0.0,0.0,0.169536,,"mexc,gate",100000000.0,10000000.0,24h,active
156,DEXE,DeXe,421333656.0,6471285.0,0.0,0.0,7.38,,"binance,mexc,gate",100000000.0,10000000.0,24h,active
157,XEC,eCash,417633123.0,5849463.0,0.0,0.0,2.097e-05,,"binance,mexc,gate",100000000.0,10000000.0,24h,active
158,KAVA,Kava,416111387.0,34077431.0,0.0,0.0,0.384464,,"binance,mexc,gate",100000000.0,10000000.0,24h,active
159,CHZ,Chiliz,404708056.0,34792267.0,0.0,0.0,0.04138107,,"binance,mexc,gate",100000000.0,10000000.0,24h,active
160,ZBCN,Zebec Network,402824565.0,19146200.0,0.0,0.0,0.00466555,,"mexc,gate",100000000.0,10000000.0,24h,active
161,AXS,Axie Infinity,400391114.0,30836280.0,0.0,0.0,2.41,,"binance,mexc,gate",100000000.0,10000000.0,24h,active
162,BEAM,Beam,394876047.0,19753716.0,0.0,0.0,0.0076909,,"binance,mexc,gate",100000000.0,10000000.0,24h,active
163,WHYPE,Wrapped HYPE,394497017.0,144152134.0,0.0,0.0,46.69,,"mexc,gate",100000000.0,10000000.0,24h,active
164,UBTC,Unit Bitcoin,385301015.0,75454043.0,0.0,0.0,117718.0,,"mexc,gate",100000000.0,10000000.0,24h,active
165,W,Wormhole,385238141.0,23559061.0,0.0,0.0,0.081693,,"binance,mexc,gate",100000000.0,10000000.0,24h,active
166,RON,Ronin,384792600.0,18912218.0,0.0,0.0,0.555134,,"mexc,gate",100000000.0,10000000.0,24h,active
167,ATH,Aethir,379578444.0,16918130.0,0.0,0.0,0.03328423,,"mexc,gate",100000000.0,10000000.0,24h,active
